,title,authors,average_rating,language_code,num_pages,ratings_count,text_reviews_count,publication_date,publisher,pub_year,century,is_big_book
2,Harry Potter and the Chamber of Secrets (Harry Potter  #2),J.K. Rowling,4.42,eng,352.0,6333,244,11/1/2003,Scholastic,2003,21th,small
4,Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5),J.K. Rowling/Mary GrandPré,4.78,eng,2690.0,41428,164,9/13/2004,Scholastic,2004,21th,big
5,"""Unauthorized Harry Potter Book Seven News: """"Half-Blood Prince"""" Analysis and Speculation""",W. Frederick Zimmerman,3.74,eng,152.0,19,1,4/26/2005,Nimble Books,2005,21th,small
6,Harry Potter Collection (Harry Potter  #1-6),J.K. Rowling,4.73,eng,3342.0,28242,808,9/12/2005,Scholastic,2005,21th,big
7,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,eng,815.0,3628,254,11/1/2005,Gramercy Books,2005,21th,big
8,The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,eng,815.0,249558,4080,4/30/2002,Del Rey Books,2002,21th,big
9,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams,4.22,eng,215.0,4930,460,8/3/2004,Crown,2004,21th,small
10,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams/Stephen Fry,4.22,eng,6.0,1266,253,3/23/2005,Random House Audio,2005,21th,small
11,The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,eng,815.0,2877,195,1/17/1996,Wings Books,1996,20th,big
12,A Short History of Nearly Everything,Bill Bryson,4.21,eng,544.0,248558,9396,9/14/2004,Broadway Books,2004,21th,big
13,Bill Bryson's African Diary,Bill Bryson,3.44,eng,55.0,7270,499,12/3/2002,Broadway Books,2002,21th,small
14,Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,Bill Bryson,3.87,eng,256.0,2088,131,9/14/2004,Broadway Books,2004,21th,small
15,In a Sunburned Country,Bill Bryson,4.07,eng,335.0,72451,4245,5/15/2001,Broadway Books,2001,21th,small
16,I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,Bill Bryson,3.90,eng,304.0,49240,2211,6/28/2000,Broadway Books,2000,21th,small
17,The Lost Continent: Travels in Small Town America,Bill Bryson,3.83,eng,299.0,45712,2257,8/28/1990,William Morrow Paperbacks,1990,20th,small
18,Neither Here nor There: Travels in Europe,Bill Bryson,3.86,eng,254.0,48701,2238,3/28/1993,William Morrow Paperbacks,1993,20th,small
19,Notes from a Small Island,Bill Bryson,3.91,eng,324.0,80609,3301,5/28/1997,William Morrow Paperbacks,1997,20th,small
20,The Mother Tongue: English and How It Got That Way,Bill Bryson,3.93,eng,270.0,28489,2085,9/28/1991,William Morrow Paperbacks,1991,20th,small
21,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,4.59,eng,1728.0,101233,1550,9/25/2012,Ballantine Books,2012,21th,big
22,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien,4.50,eng,1184.0,1710,91,10/21/2004,Houghton Mifflin Harcourt,2004,21th,big
24,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien/Alan  Lee,4.50,eng,1216.0,1618,140,10/1/2002,Houghton Mifflin Harcourt,2002,21th,big
25,The Lord of the Rings: Weapons and Warfare,Chris   Smith/Christopher  Lee/Richard Taylor,4.53,eng,218.0,19822,46,11/5/2003,Houghton Mifflin Harcourt,2003,21th,small
26,The Lord of the Rings: Complete Visual Companion,Jude Fisher,4.50,eng,224.0,359,6,11/15/2004,Houghton Mifflin Harcourt,2004,21th,small
27,Agile Web Development with Rails: A Pragmatic Guide,Dave Thomas/David Heinemeier Hansson/Leon Breedt/Mike Clark/Thomas  Fuchs/Andreas  Schwarz,3.84,eng,558.0,1430,59,7/28/2005,Pragmatic Bookshelf,2005,21th,big
29,"""Hatchet: A Guide for Using """"Hatchet"""" in the Classroom""",Donna Ickes/Edward Sciranko/Keith Vasconcelles,4.00,eng,48.0,36,2,8/28/1994,Teacher Created Resources,1994,20th,small
30,Guts: The True Stories behind Hatchet and the Brian Books,Gary Paulsen,3.88,eng,144.0,2067,334,1/23/2001,Delacorte Press,2001,21th,small
32,Hatchet Jobs: Writings on Contemporary Fiction,Dale Peck,3.45,eng,228.0,99,16,11/1/2005,The New Press,2005,21th,small
33,A Changeling for All Seasons (Changeling Seasons #1),Angela Knight/Sahara Kelly/Judy Mays/Marteeka Karland/Kate Douglas/Shelby Morgen/Lacey Savage/Kate Hill/Willa Okati,3.76,eng,304.0,167,4,11/1/2005,Changeling Press,2005,21th,small
34,Changeling (Changeling  #1),Delia Sherman,3.60,eng,256.0,978,111,8/17/2006,Viking Juvenile,2006,21th,small
35,The Changeling Sea,Patricia A. McKillip,4.06,eng,137.0,4454,302,4/14/2003,Firebird,2003,21th,small
36,The Changeling,Zilpha Keatley Snyder,4.17,eng,228.0,1176,96,6/8/2004,iUniverse,2004,21th,small
37,The Changeling,Kate Horsley,3.55,eng,339.0,301,43,4/12/2005,Shambhala,2005,21th,small
38,The Changeling (Daughters of England  #15),Philippa Carr,3.98,eng,369.0,345,12,8/28/1990,Ivy Books,1990,20th,small
39,The Known World,Edward P. Jones,3.83,eng,388.0,29686,2626,8/29/2006,Amistad,2006,21th,small
40,The Known World,Edward P. Jones/Kevin R. Free,3.83,eng,14.0,55,12,6/15/2004,HarperAudio,2004,21th,small
41,The Known World,Edward P. Jones,3.83,eng,576.0,22,3,6/15/2004,Harper,2004,21th,big
42,Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives,Satyajit Das,3.83,eng,334.0,1456,82,5/15/2006,FT Press,2006,21th,small
43,Artesia: Adventures in the Known World,Mark Smylie,4.13,eng,352.0,52,4,12/14/2005,Archaia,2005,21th,small
